GENE_NAME,ID,DESCRIPTION,SUMMARY
LTK,4058,leukocyte receptor tyrosine kinase,"The protein encoded by this gene is a member of the ros/insulin receptor family of tyrosine kinases. Tyrosine-specific phosphorylation of proteins is a key to the control of diverse pathways leading to cell growth and differentiation. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2008]"
TSPY26P,128854,"testis specific protein Y-linked 26, pseudogene","Predicted to enable chromatin binding activity and histone binding activity. Predicted to be involved in nucleosome assembly. Predicted to be active in chromatin and nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
ULBP3,79465,UL16 binding protein 3,"The protein encoded by this gene is one of several related ligands of the KLRK1/NKG2D receptor, which is found in primary NK cells. Binding of these ligands to the receptor activates several signal transduction pathways, including the JAK2, STAT5, and ERK pathways. The encoded protein is expressed solubly and on the surface of many tumor cells, making it potentially an important target for therapeutics. [provided by RefSeq, Nov 2015]"
ZSCAN23,222696,zinc finger and SCAN domain containing 23,"Enables sequence-specific double-stranded DNA binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
GDNF,2668,glial cell derived neurotrophic factor,"This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate each subunit of the disulfide-linked homodimer. The recombinant form of this protein, a highly conserved neurotrophic factor, was shown to promote the survival and differentiation of dopaminergic neurons in culture, and was able to prevent apoptosis of motor neurons induced by axotomy. This protein is a ligand for the product of the RET (rearranged during transfection) protooncogene. Mutations in this gene may be associated with Hirschsprung disease and Tourette syndrome. This gene encodes multiple protein isoforms that may undergo similar proteolytic processing. [provided by RefSeq, Aug 2016]"
MPV17L,255027,MPV17 mitochondrial inner membrane protein like,"Involved in negative regulation of hydrogen peroxide biosynthetic process; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway; and reactive oxygen species metabolic process. Located in peroxisome. [provided by Alliance of Genome Resources, Apr 2022]"
ZNF157,7712,zinc finger protein 157,"This gene product is a likely zinc finger family transcription factor. It contains KRAB-A and KRAB-B domains that act as transcriptional repressors in related proteins, and multiple zinc finger DNA binding motifs and finger linking regions characteristic of the Kruppel family. This gene is part of a gene cluster on chromosome Xp11.23. [provided by RefSeq, Jul 2008]"
BRSK2,9024,BR serine/threonine kinase 2,"Enables several functions, including ATP binding activity; ATPase binding activity; and protein kinase activity. Involved in several processes, including cellular protein metabolic process; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress; and regulation of insulin secretion involved in cellular response to glucose stimulus. Located in centrosome and endoplasmic reticulum. [provided by Alliance of Genome Resources, Apr 2022]"
LRCH2,57631,leucine rich repeats and calponin homology domain containing 2,"This gene encodes a member of the leucine-rich repeat and calponin homology domain-containing protein family. These family members contain multiple N-terminal leucine-rich repeats, in addition to a C-terminal calponin homology domain, a type of domain that mediates interactions with actin filaments. These proteins are conserved across animal species, and studies of a similar Drosophila protein indicate a function as a cytoskeletal scaffolding protein. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Sep 2011]"
DNALI1,7802,dynein axonemal light intermediate chain 1,"This gene is the human homolog of the Chlamydomonas inner dynein arm gene, p28. The precise function of this gene is not known, however, it is a potential candidate for immotile cilia syndrome (ICS). Ultrastructural defects of the inner dynein arms are seen in patients with ICS. Immotile mutant strains of Chlamydomonas, a biflagellated algae, exhibit similar defects. [provided by RefSeq, Jul 2008]"
BTBD8,284697,BTB domain containing 8,"Predicted to be involved in clathrin-dependent synaptic vesicle endocytosis; neuron projection development; and synaptic vesicle budding from endosome. Located in nucleoplasm. Colocalizes with AP-2 adaptor complex. [provided by Alliance of Genome Resources, Apr 2022]"
ZNF300P1,134466,zinc finger protein 300 pseudogene 1,
MPZL3,196264,myelin protein zero like 3,"Predicted to be involved in cell adhesion. Predicted to act upstream of or within extracellular matrix organization and hair cycle. Predicted to be integral component of membrane. Predicted to be active in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
PPP1R3C,5507,protein phosphatase 1 regulatory subunit 3C,"This gene encodes a carbohydrate binding protein that is a subunit of the protein phosphatase 1 (PP1) complex. PP1 catalyzes reversible protein phosphorylation, which is important in a wide range of cellular activities. The encoded protein affects glycogen biosynthesis by activating glycogen synthase and limiting glycogen breakdown by reducing glycogen phosphorylase activity. DNA hypermethylation of this gene has been found in colorectal cancer patients. The encoded protein also interacts with the laforin protein, which is a protein tyrosine phosphatase implicated in Lafora disease. [provided by RefSeq, Sep 2016]"
LOXL4,84171,lysyl oxidase like 4,"This gene encodes a member of the lysyl oxidase gene family. The prototypic member of the family is essential to the biogenesis of connective tissue, encoding an extracellular copper-dependent amine oxidase that catalyses the first step in the formation of crosslinks in collagens and elastin. A highly conserved amino acid sequence at the C-terminus end appears to be sufficient for amine oxidase activity, suggesting that each family member may retain this function. The N-terminus is poorly conserved and may impart additional roles in developmental regulation, senescence, tumor suppression, cell growth control, and chemotaxis to each member of the family. [provided by RefSeq, Jul 2008]"
ACY3,91703,aminoacylase 3,"Predicted to enable aminoacylase activity. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]"
ILVASC,9076,claudin 1,"Tight junctions represent one mode of cell-to-cell adhesion in epithelial or endothelial cell sheets, forming continuous seals around cells and serving as a physical barrier to prevent solutes and water from passing freely through the paracellular space. These junctions are comprised of sets of continuous networking strands in the outwardly facing cytoplasmic leaflet, with complementary grooves in the inwardly facing extracytoplasmic leaflet. The protein encoded by this gene, a member of the claudin family, is an integral membrane protein and a component of tight junction strands. Loss of function mutations result in neonatal ichthyosis-sclerosing cholangitis syndrome. [provided by RefSeq, Jul 2008]"
ZNF483,158399,zinc finger protein 483,"Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
COL22A1,169044,collagen type XXII alpha 1 chain,"This gene encodes member of the collagen family which is thought to contribute to the stabilization of myotendinous junctions and strengthen skeletal muscle attachments during contractile activity. It belongs to the fibril-associated collagens with interrupted triple helix (FACIT) subset of the collagen superfamily, which associate with collagen fibers through their C-terminal collagenous domains and mediate protein-protein interactions through their N-terminal noncollagenous domains. The encoded protein is deposited in the basement membrane zone of the myotendinous junction which is present only at the tissue junctions of muscles, tendons, the heart, articular cartilage, and skin. A knockdown of the orthologous zebrafish gene induces a muscular dystrophy by disruption of the myotendinous junction. [provided by RefSeq, May 2017]"
OPLAH,26873,"5-oxoprolinase, ATP-hydrolysing","The protein encoded by this gene acts as a homodimer, using ATP hydrolysis to catalyze the conversion of 5-oxo-L-proline to L-glutamate. Defects in this gene are a cause of 5-oxoprolinase deficiency (OPLAHD). [provided by RefSeq, Jun 2012]"
DDO,8528,D-aspartate oxidase,"The protein encoded by this gene is a peroxisomal flavoprotein that catalyzes the oxidative deamination of D-aspartate and N-methyl D-aspartate. Flavin adenine dinucleotide or 6-hydroxyflavin adenine dinucleotide can serve as the cofactor in this reaction. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2019]"
ZNF660,285349,zinc finger protein 660,"This gene encodes a protein that contains multiple C2H2 zinc finger domains, and is located in a cluster of zinc-finger encoding genes on chromosome 3. Naturally-occurring readthrough transcription is observed between this gene and the downstream zinc finger protein 197 gene and is represented by GeneID:110354863. [provided by RefSeq, May 2017]"
BAALC,79870,BAALC binder of MAP3K1 and KLF4,"This gene was identified by gene expression studies in patients with acute myeloid leukemia (AML). The gene is conserved among mammals and is not found in lower organisms. Tissues that express this gene develop from the neuroectoderm. Multiple alternatively spliced transcript variants that encode different proteins have been described for this gene; however, some of the transcript variants are found only in AML cell lines. [provided by RefSeq, Jul 2008]"
CTAGE15,441294,CTAGE family member 15,"Predicted to be involved in endoplasmic reticulum to Golgi vesicle-mediated transport; protein secretion; and vesicle cargo loading. Predicted to be integral component of membrane. Predicted to be active in endoplasmic reticulum exit site and endoplasmic reticulum membrane. [provided by Alliance of Genome Resources, Apr 2022]"
SPIN2A,54466,spindlin family member 2A,"This gene encodes one of three members of the DXF34 gene family, located in a 100-kb region of chromosome Xp11.21. [provided by RefSeq, Nov 2009]"
NOE1,10439,olfactomedin 1,"This gene product shares extensive sequence similarity with the rat neuronal olfactomedin-related ER localized protein. While the exact function of the encoded protein is not known, its abundant expression in brain suggests that it may have an essential role in nerve tissue. Several alternatively spliced transcripts encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
ENPP5,59084,ectonucleotide pyrophosphatase/phosphodiesterase family member 5,"This gene encodes a type-I transmembrane glycoprotein. Studies in rat suggest the encoded protein may play a role in neuronal cell communications. Alternatively spliced transcript variants have been described. [provided by RefSeq, Feb 2014]"
WHAMMP2,440253,WHAMM pseudogene 2,
KRT18,3875,keratin 18,"KRT18 encodes the type I intermediate filament chain keratin 18. Keratin 18, together with its filament partner keratin 8, are perhaps the most commonly found members of the intermediate filament gene family. They are expressed in single layer epithelial tissues of the body. Mutations in this gene have been linked to cryptogenic cirrhosis. Two transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008]"
CRACR2A,84766,calcium release activated channel regulator 2A,"Enables GTPase activity and calcium ion binding activity. Involved in several processes, including activation of store-operated calcium channel activity; positive regulation of JNK cascade; and store-operated calcium entry. Located in several cellular components, including Golgi apparatus; Weibel-Palade body; and immunological synapse. [provided by Alliance of Genome Resources, Apr 2022]"
SH2D4A,63898,SH2 domain containing 4A,"Enables phosphatase binding activity. Located in cytosol. [provided by Alliance of Genome Resources, Apr 2022]"
EFHC2,80258,EF-hand domain containing 2,"This gene encodes a protein which contains three DM10 domains and three calcium-binding EF-hand motifs. A related protein is encoded by a gene on chromosome 6. It has been suggested that both proteins are involved in the development of epilepsy (PMID: 15258581, 16112844) and that this gene may be associated with fear recognition in individuals with Turner syndrome. [provided by RefSeq, Aug 2011]"
GPR82,27197,G protein-coupled receptor 82,"The protein encoded by this gene is an orphan G protein-coupled receptor of unknown function. The encoded protein is a member of a family of proteins that contain seven transmembrane domains and transduce extracellular signals through heterotrimeric G proteins. [provided by RefSeq, Sep 2011]"
RARB,5915,retinoic acid receptor beta,"This gene encodes retinoic acid receptor beta, a member of the thyroid-steroid hormone receptor superfamily of nuclear transcriptional regulators. This receptor localizes to the cytoplasm and to subnuclear compartments. It binds retinoic acid, the biologically active form of vitamin A which mediates cellular signalling in embryonic morphogenesis, cell growth and differentiation. It is thought that this protein limits growth of many cell types by regulating gene expression. The gene was first identified in a hepatocellular carcinoma where it flanks a hepatitis B virus integration site. Alternate promoter usage and differential splicing result in multiple transcript variants. [provided by RefSeq, Mar 2014]"
MLXIPL,51085,MLX interacting protein like,"This gene encodes a basic helix-loop-helix leucine zipper transcription factor of the Myc/Max/Mad superfamily. This protein forms a heterodimeric complex and binds and activates, in a glucose-dependent manner, carbohydrate response element (ChoRE) motifs in the promoters of triglyceride synthesis genes. The gene is deleted in Williams-Beuren syndrome, a multisystem developmental disorder caused by the deletion of contiguous genes at chromosome 7q11.23. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2015]"
MCF2L,23263,MCF.2 cell line derived transforming sequence like,"This gene encodes a guanine nucleotide exchange factor that interacts specifically with the GTP-bound Rac1 and plays a role in the Rho/Rac signaling pathways. A variant in this gene was associated with osteoarthritis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Mar 2016]"
ITGA10,8515,integrin subunit alpha 10,"Integrins are integral transmembrane glycoproteins composed of noncovalently linked alpha and beta chains. They participate in cell adhesion as well as cell-surface mediated signalling. This gene encodes an integrin alpha chain and is expressed at high levels in chondrocytes, where it is transcriptionally regulated by AP-2epsilon and Ets-1. The protein encoded by this gene binds to collagen. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2014]"
GUSBP5,441046,GUSB pseudogene 5,
FCAR,2204,Fc alpha receptor,"This gene is a member of the immunoglobulin gene superfamily and encodes a receptor for the Fc region of IgA. The receptor is a transmembrane glycoprotein present on the surface of myeloid lineage cells such as neutrophils, monocytes, macrophages, and eosinophils, where it mediates immunologic responses to pathogens. It interacts with IgA-opsonized targets and triggers several immunologic defense processes, including phagocytosis, antibody-dependent cell-mediated cytotoxicity, and stimulation of the release of inflammatory mediators. Multiple alternatively spliced transcript variants encoding different isoforms have been described for this gene. [provided by RefSeq, Jul 2008]"
KLHL14,57565,kelch like family member 14,"The protein encoded by this gene is a member of the Kelch-like gene family, whose members contain a BTB/POZ domain, a BACK domain, and several Kelch domains. The encoded protein possesses six Kelch domains and localizes to the endoplasmic reticulum, where it interacts with torsin-1A. [provided by RefSeq, Sep 2015]"
FAM90A1,55138,family with sequence similarity 90 member A1,"FAM90A1 belongs to subfamily I of the primate-specific FAM90A gene family, which originated from multiple duplications and rearrangements (Bosch et al., 2007 [PubMed 17684299]).[supplied by OMIM, Oct 2009]"
TNNI1,7135,"troponin I1, slow skeletal type","Troponin proteins associate with tropomyosin and regulate the calcium sensitivity of the myofibril contractile apparatus of striated muscles. Troponin I (TnI), along with troponin T (TnT) and troponin C (TnC), is one of 3 subunits that form the troponin complex of the thin filaments of striated muscle. TnI is the inhibitory subunit; blocking actin-myosin interactions and thereby mediating striated muscle relaxation. The TnI subfamily contains three genes: TnI-skeletal-fast-twitch, TnI-skeletal-slow-twitch, and TnI-cardiac. The TnI-fast and TnI-slow genes are expressed in fast-twitch and slow-twitch skeletal muscle fibers, respectively, while the TnI-cardiac gene is expressed exclusively in cardiac muscle tissue. This gene encodes the Troponin-I-skeletal-slow-twitch protein. This gene is expressed in cardiac and skeletal muscle during early development but is restricted to slow-twitch skeletal muscle fibers in adults. The encoded protein prevents muscle contraction by inhibiting calcium-mediated conformational changes in actin-myosin complexes. [provided by RefSeq, Jul 2008]"
ANKRD45,339416,ankyrin repeat domain 45,
MARC1,64757,mitochondrial amidoxime reducing component 1,"Enables molybdenum ion binding activity; molybdopterin cofactor binding activity; and oxidoreductase activity, acting on other nitrogenous compounds as donors. Contributes to nitrite reductase (NO-forming) activity. Involved in cellular detoxification of nitrogen compound; nitrate metabolic process; and nitric oxide biosynthetic process. Located in mitochondrion. Part of nitric-oxide synthase complex. [provided by Alliance of Genome Resources, Apr 2022]"
SPTLC3,55304,serine palmitoyltransferase long chain base subunit 3,"This gene encodes a subunit of the serine palmitoyltransferase complex which catalyzes the rate-limiting step in sphingolipid biosynthesis. This subunit metabolizes lauroyl- and myristoyl-CoA and generates C14 and C16-sphingoid bases. [provided by RefSeq, Mar 2017]"
MIR100HG,399959,mir-100-let-7a-2-mir-125b-1 cluster host gene,"This gene produces long non-coding RNAs that act as regulators of cell proliferation. Alternative promoter usage and splicing results in multiple transcript variants. Some transcript variants may promote growth, while others may act to negatively regulate cell division. [provided by RefSeq, May 2016]"
EFS,10278,embryonal Fyn-associated substrate,"The protein encoded by this gene is a member of the CAS (CRK-associated substrate) family of adaptor proteins which typically serve as scaffolds for the assembly of larger signaling complexes. These complexes form at the cell surface where integrin binding leads to the subsequent phosphorylation of a CAS protein. Additional binding of SRC family kinases leads to CAS hyperphosphorylation and the creation of binding sites for CRK and other proteins that cause actin cytoskeleton reorganization. This gene plays a role in integrin-mediated cell attachment, spreading, and migration and also plays a role in both normal and malignant cellular transformation. This broadly expressed gene has been shown to play a role in neurite outgrowth and its expression in the thymus and lymphocytes is important for T cell maturation and the development of immunological self-tolerance. Alternative splicing of this gene results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2020]"
PLA2R1,22925,phospholipase A2 receptor 1,"This gene represents a phospholipase A2 receptor. The encoded protein likely exists as both a transmembrane form and a soluble form. The transmembrane receptor may play a role in clearance of phospholipase A2, thereby inhibiting its action. Polymorphisms at this locus have been associated with susceptibility to idiopathic membranous nephropathy. Alternatively spliced transcript variants encoding different isoforms have been identified.[provided by RefSeq, Sep 2010]"
LCTL,197021,lactase like,"This gene encodes a member of family 1 glycosidases. Glycosidases are enzymes that hydrolyze glycosidic bonds and are classified into families based on primary amino acid sequence. Most members of family 1 have two conserved glutamic acid residues, which are required for enzymatic activity. The mouse ortholog of this protein has been characterized and has a domain structure of an N-terminal signal peptide, glycosidase domain, transmembrane domain, and a short cytoplasmic tail. It lacks one of the conserved glutamic acid residues important for catalysis, and its function remains to be determined (PMID: 12084582). Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2013]"
TF,2152,"coagulation factor III, tissue factor","This gene encodes coagulation factor III which is a cell surface glycoprotein. This factor enables cells to initiate the blood coagulation cascades, and it functions as the high-affinity receptor for the coagulation factor VII. The resulting complex provides a catalytic event that is responsible for initiation of the coagulation protease cascades by specific limited proteolysis. Unlike the other cofactors of these protease cascades, which circulate as nonfunctional precursors, this factor is a potent initiator that is fully functional when expressed on cell surfaces, for example, on monocytes. There are 3 distinct domains of this factor: extracellular, transmembrane, and cytoplasmic. Platelets and monocytes have been shown to express this coagulation factor under procoagulatory and proinflammatory stimuli, and a major role in HIV-associated coagulopathy has been described. Platelet-dependent monocyte expression of coagulation factor III has been described to be associated with Coronavirus Disease 2019 (COVID-19) severity and mortality. This protein is the only one in the coagulation pathway for which a congenital deficiency has not been described. Alternate splicing results in multiple transcript variants.[provided by RefSeq, Aug 2020]"
ST6GALNAC5,81849,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5","The protein encoded by this gene is a Golgi type II transmembrane glycosyltransferase. The encoded protein catalyzes the transfer of sialic acid to cell surface proteins to modulate cell-cell interactions. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2016]"
RAP1GAP2,23108,RAP1 GTPase activating protein 2,"This gene encodes a GTPase-activating protein that activates the small guanine-nucleotide-binding protein Rap1 in platelets. The protein interacts with synaptotagmin-like protein 1 and Rab27 and regulates secretion of dense granules from platelets at sites of endothelial damage. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2009]"
FKSG80,27198,hydroxycarboxylic acid receptor 1,"G protein-coupled receptors (GPCRs, or GPRs), such as GPR81, contain 7 transmembrane domains and transduce extracellular signals through heterotrimeric G proteins.[supplied by OMIM, Feb 2005]"
ITIH6,347365,inter-alpha-trypsin inhibitor heavy chain family member 6,"The protein encoded by this gene belongs to the interalpha trypsin inhibitor heavy chain (ITIH) family. Interalpha trypsin inhibitor (ITI) is composed of two heavy chains (containing VWA domain) and one light chain. The light chain confers the protease-inhibitor function, while the heavy chains are involved in mediating protein-protein interactions with the components of the extracellular matrix. [provided by RefSeq, Sep 2009]"
DZIP1,22873,DAZ interacting zinc finger protein 1,"Predicted to enable metal ion binding activity. Involved in cilium assembly; germ cell development; and spermatogenesis. Located in cytosol; microtubule organizing center; and nucleoplasm. Colocalizes with centriole. Implicated in mitral valve prolapse and spermatogenic failure 47. [provided by Alliance of Genome Resources, Apr 2022]"
NAALADL1,10004,N-acetylated alpha-linked acidic dipeptidase like 1,"Enables aminopeptidase activity; metal ion binding activity; and protein homodimerization activity. Involved in peptide catabolic process. Predicted to be located in apical plasma membrane. Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
FAM133A,286499,family with sequence similarity 133 member A,
AARD,441376,alanine and arginine rich domain containing protein,"Predicted to be involved in lung development. [provided by Alliance of Genome Resources, Apr 2022]"
CMBL,134147,carboxymethylenebutenolidase homolog,"CMBL (EC 3.1.1.45) is a cysteine hydrolase of the dienelactone hydrolase family that is highly expressed in liver cytosol. CMBL preferentially cleaves cyclic esters, and it activates medoxomil-ester prodrugs in which the medoxomil moiety is linked to an oxygen atom (Ishizuka et al., 2010 [PubMed 20177059]).[supplied by OMIM, Apr 2010]"
TRPM3,80036,transient receptor potential cation channel subfamily M member 3,"The product of this gene belongs to the family of transient receptor potential (TRP) channels. TRP channels are cation-selective channels important for cellular calcium signaling and homeostasis. The protein encoded by this gene mediates calcium entry, and this entry is potentiated by calcium store depletion. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]"
SUCNR1,56670,succinate receptor 1,"This gene encodes a G-protein-coupled receptor for succinate, an intermediate molecule of the citric acid cycle. It is involved in the promotion of hematopoietic progenitor cell development, and it has a potential role in renovascular hypertension which has known correlations to renal failure, diabetes and atherosclerosis. [provided by RefSeq, Oct 2009]"
SEMA3A,10371,semaphorin 3A,"This gene is a member of the semaphorin family and encodes a protein with an Ig-like C2-type (immunoglobulin-like) domain, a PSI domain and a Sema domain. This secreted protein can function as either a chemorepulsive agent, inhibiting axonal outgrowth, or as a chemoattractive agent, stimulating the growth of apical dendrites. In both cases, the protein is vital for normal neuronal pattern development. Increased expression of this protein is associated with schizophrenia and is seen in a variety of human tumor cell lines. Also, aberrant release of this protein is associated with the progression of Alzheimer's disease. [provided by RefSeq, Jul 2008]"
COLCA2,120376,POU class 2 homeobox associating factor 3,"Located in cytoplasm. [provided by Alliance of Genome Resources, Apr 2022]"
MORN3,283385,MORN repeat containing 3,"Located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
CTAGE11P,647288,"CTAGE family member 11, pseudogene",
B3GALNT1,8706,"beta-1,3-N-acetylgalactosaminyltransferase 1 (globoside blood group)","This gene is a member of the beta-1,3-galactosyltransferase (beta3GalT) gene family. This family encodes type II membrane-bound glycoproteins with diverse enzymatic functions using different donor substrates (UDP-galactose and UDP-N-acetylglucosamine) and different acceptor sugars (N-acetylglucosamine, galactose, N-acetylgalactosamine). The beta3GalT genes are distantly related to the Drosophila Brainiac gene and have the protein coding sequence contained in a single exon. The beta3GalT proteins also contain conserved sequences not found in the beta4GalT or alpha3GalT proteins. The carbohydrate chains synthesized by these enzymes are designated as type 1, whereas beta4GalT enzymes synthesize type 2 carbohydrate chains. The ratio of type 1:type 2 chains changes during embryogenesis. By sequence similarity, the beta3GalT genes fall into at least two groups: beta3GalT4 and 4 other beta3GalT genes (beta3GalT1-3, beta3GalT5). The encoded protein of this gene does not use N-acetylglucosamine as an acceptor sugar at all. [provided by RefSeq, Mar 2017]"
SERPINA5,5104,serpin family A member 5,"The protein encoded by this gene is a member of the serpin family of proteins, a group of proteins that inhibit serine proteases. This gene is one in a cluster of serpin genes located on the q arm of chromosome 14. This family member is a glycoprotein that can inhibit several serine proteases, including protein C and various plasminogen activators and kallikreins, and it thus plays diverse roles in hemostasis and thrombosis in multiple organs. [provided by RefSeq, Aug 2012]"
RGS18,64407,regulator of G protein signaling 18,"This gene encodes a member of the regulator of G-protein signaling family. This protein is contains a conserved, 120 amino acid motif called the RGS domain. The protein attenuates the signaling activity of G-proteins by binding to activated, GTP-bound G alpha subunits and acting as a GTPase activating protein (GAP), increasing the rate of conversion of the GTP to GDP. This hydrolysis allows the G alpha subunits to bind G beta/gamma subunit heterodimers, forming inactive G-protein heterotrimers, thereby terminating the signal. Alternate transcriptional splice variants of this gene have been observed but have not been thoroughly characterized. [provided by RefSeq, Jul 2008]"
RNF175,285533,ring finger protein 175,"Predicted to enable ubiquitin protein ligase activity. Predicted to be involved in ubiquitin-dependent ERAD pathway. Predicted to be integral component of membrane. Predicted to be active in Golgi membrane and endoplasmic reticulum membrane. [provided by Alliance of Genome Resources, Apr 2022]"
