GENE_NAME,ID,DESCRIPTION,SUMMARY
DNAJC5B,85479,DnaJ heat shock protein family (Hsp40) member C5 beta,"This gene encodes a member of the DNAJ heat shock protein 40 family of co-chaperone proteins that is characterized by an N-terminal DNAJ domain, a linker region, and a cysteine-rich C-terminal domain. The encoded protein, together with heat shock protein 70, is thought to regulate the proper folding of other proteins. The orthologous mouse protein is membrane-associated and is targeted to the trans-golgi network. [provided by RefSeq, Mar 2017]"
CCR3,1232,C-C motif chemokine receptor 3,"The protein encoded by this gene is a receptor for C-C type chemokines. It belongs to family 1 of the G protein-coupled receptors. This receptor binds and responds to a variety of chemokines, including eotaxin (CCL11), eotaxin-3 (CCL26), MCP-3 (CCL7), MCP-4 (CCL13), and RANTES (CCL5). It is highly expressed in eosinophils and basophils, and is also detected in TH1 and TH2 cells, as well as in airway epithelial cells. This receptor may contribute to the accumulation and activation of eosinophils and other inflammatory cells in the allergic airway. It is also known to be an entry co-receptor for HIV-1. This gene and seven other chemokine receptor genes form a chemokine receptor gene cluster on the chromosomal region 3p21. Alternatively spliced transcript variants have been described. [provided by RefSeq, Sep 2009]"
XCR1,2829,X-C motif chemokine receptor 1,"The protein encoded by this gene is a chemokine receptor belonging to the G protein-coupled receptor superfamily. The family members are characterized by the presence of 7 transmembrane domains. The encoded protein transduces a signal by increasing the intracellular calcium ion level. The viral macrophage inflammatory protein-II is an antagonist of this receptor and blocks signaling. Some studies have implicated a cluster of genes at 3p21.31, including this gene, as associated with COVID-19 risk. The encoded protein may also play a role in cell proliferation and migration in several types of cancer. [provided by RefSeq, Jan 2023]"
IRX2,153572,iroquois homeobox 2,"IRX2 is a member of the Iroquois homeobox gene family. Members of this family appear to play multiple roles during pattern formation of vertebrate embryos.[supplied by OMIM, Apr 2004]"
GPR174,84636,G protein-coupled receptor 174,"This gene encodes a protein belonging to the G protein-coupled receptor superfamily. These proteins are characterized by the presence of seven alpha-helical transmembrane domains, and they activate or interact with various endogenous or exogenous ligands, including neurotransmitters, hormones, and odorant and taste substances. This family member is classified as an orphan receptor because the cognate ligand has not been identified. [provided by RefSeq, Sep 2011]"
LGALS2,3958,galectin 3,"This gene encodes a member of the galectin family of carbohydrate binding proteins. Members of this protein family have an affinity for beta-galactosides. The encoded protein is characterized by an N-terminal proline-rich tandem repeat domain and a single C-terminal carbohydrate recognition domain. This protein can self-associate through the N-terminal domain allowing it to bind to multivalent saccharide ligands. This protein localizes to the extracellular matrix, the cytoplasm and the nucleus. This protein plays a role in numerous cellular functions including apoptosis, innate immunity, cell adhesion and T-cell regulation. The protein exhibits antimicrobial activity against bacteria and fungi. Alternate splicing results in multiple transcript variants.[provided by RefSeq, Oct 2014]"
JAKMIP1,152789,janus kinase and microtubule interacting protein 1,"Enables GABA receptor binding activity and RNA binding activity. Involved in cognition. Is extrinsic component of membrane. Part of ribonucleoprotein complex. [provided by Alliance of Genome Resources, Apr 2022]"
KLRF1,51348,killer cell lectin like receptor F1,"KLRF1, an activating homodimeric C-type lectin-like receptor (CTLR), is expressed on nearly all natural killer (NK) cells and stimulates their cytoxicity and cytokine release (Kuttruff et al., 2009 [PubMed 18922855]).[supplied by OMIM, Oct 2009]"
HLA-DPB2,3116,"major histocompatibility complex, class II, DP beta 2 (pseudogene)",
MYBPC3,4607,myosin binding protein C3,"MYBPC3 encodes the cardiac isoform of myosin-binding protein C. Myosin-binding protein C is a myosin-associated protein found in the cross-bridge-bearing zone (C region) of A bands in striated muscle. MYBPC3 is expressed exclusively in heart muscle and is a key regulator of cardiac contraction. Mutations in this gene are a frequent cause of familial hypertrophic cardiomyopathy. [provided by RefSeq, May 2022]"
FCRL3,115352,Fc receptor like 3,"This gene encodes a member of the immunoglobulin receptor superfamily and is one of several Fc receptor-like glycoproteins clustered on the long arm of chromosome 1. The encoded protein contains immunoreceptor-tyrosine activation motifs and immunoreceptor-tyrosine inhibitory motifs in its cytoplasmic domain and may play a role in regulation of the immune system. Mutations in this gene have been associated with rheumatoid arthritis, autoimmune thyroid disease, and systemic lupus erythematosus. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016]"
PNOC,5368,prepronociceptin,"This gene encodes a preproprotein that is proteolytically processed to generate multiple protein products. These products include nociceptin, nocistatin, and orphanin FQ2 (OFQ2). Nociceptin, also known as orphanin FQ, is a 17-amino acid neuropeptide that binds to the nociceptin receptor to induce increased pain sensitivity, and may additionally regulate body temperature, learning and memory, and hunger. Another product of the encoded preproprotein, nocistatin, may inhibit the effects of nociceptin. [provided by RefSeq, Jul 2015]"
TNIP3,79931,TNFAIP3 interacting protein 3,"Enables polyubiquitin modification-dependent protein binding activity. Involved in cellular response to lipopolysaccharide; negative regulation of I-kappaB kinase/NF-kappaB signaling; and toll-like receptor signaling pathway. Predicted to be located in cytosol. [provided by Alliance of Genome Resources, Apr 2022]"
UPK3A,7380,uroplakin 3A,"This gene encodes a member of the uroplakin family, a group of transmembrane proteins that form complexes on the apical surface of the bladder epithelium. Mutations in this gene may be associated with renal adysplasia. Alternatively spliced transcript variants have been described.[provided by RefSeq, Nov 2009]"
EFHC2,80258,EF-hand domain containing 2,"This gene encodes a protein which contains three DM10 domains and three calcium-binding EF-hand motifs. A related protein is encoded by a gene on chromosome 6. It has been suggested that both proteins are involved in the development of epilepsy (PMID: 15258581, 16112844) and that this gene may be associated with fear recognition in individuals with Turner syndrome. [provided by RefSeq, Aug 2011]"
FAM181B,220382,family with sequence similarity 181 member B,
XCL1,6375,X-C motif chemokine ligand 1,"This antimicrobial gene encodes a member of the chemokine superfamily. Chemokines function in inflammatory and immunological responses, inducing leukocyte migration and activation. The encoded protein is a member of the C-chemokine subfamily, retaining only two of four cysteines conserved in other chemokines, and is thought to be specifically chemotactic for T cells. This gene and a closely related family member are located on the long arm of chromosome 1. [provided by RefSeq, Sep 2014]"
TNNI1,7135,"troponin I1, slow skeletal type","Troponin proteins associate with tropomyosin and regulate the calcium sensitivity of the myofibril contractile apparatus of striated muscles. Troponin I (TnI), along with troponin T (TnT) and troponin C (TnC), is one of 3 subunits that form the troponin complex of the thin filaments of striated muscle. TnI is the inhibitory subunit; blocking actin-myosin interactions and thereby mediating striated muscle relaxation. The TnI subfamily contains three genes: TnI-skeletal-fast-twitch, TnI-skeletal-slow-twitch, and TnI-cardiac. The TnI-fast and TnI-slow genes are expressed in fast-twitch and slow-twitch skeletal muscle fibers, respectively, while the TnI-cardiac gene is expressed exclusively in cardiac muscle tissue. This gene encodes the Troponin-I-skeletal-slow-twitch protein. This gene is expressed in cardiac and skeletal muscle during early development but is restricted to slow-twitch skeletal muscle fibers in adults. The encoded protein prevents muscle contraction by inhibiting calcium-mediated conformational changes in actin-myosin complexes. [provided by RefSeq, Jul 2008]"
TRPM3,80036,transient receptor potential cation channel subfamily M member 3,"The product of this gene belongs to the family of transient receptor potential (TRP) channels. TRP channels are cation-selective channels important for cellular calcium signaling and homeostasis. The protein encoded by this gene mediates calcium entry, and this entry is potentiated by calcium store depletion. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]"
SUCNR1,56670,succinate receptor 1,"This gene encodes a G-protein-coupled receptor for succinate, an intermediate molecule of the citric acid cycle. It is involved in the promotion of hematopoietic progenitor cell development, and it has a potential role in renovascular hypertension which has known correlations to renal failure, diabetes and atherosclerosis. [provided by RefSeq, Oct 2009]"
IL12B,3593,interleukin 12B,"This gene encodes a subunit of interleukin 12, a cytokine that acts on T and natural killer cells, and has a broad array of biological activities. Interleukin 12 is a disulfide-linked heterodimer composed of the 40 kD cytokine receptor like subunit encoded by this gene, and a 35 kD subunit encoded by IL12A. This cytokine is expressed by activated macrophages that serve as an essential inducer of Th1 cells development. This cytokine has been found to be important for sustaining a sufficient number of memory/effector Th1 cells to mediate long-term protection to an intracellular pathogen. Overexpression of this gene was observed in the central nervous system of patients with multiple sclerosis (MS), suggesting a role of this cytokine in the pathogenesis of the disease. The promoter polymorphism of this gene has been reported to be associated with the severity of atopic and non-atopic asthma in children. [provided by RefSeq, Jul 2008]"
TIFAB,497189,TIFA inhibitor,"Involved in several processes, including animal organ morphogenesis; cranial nerve development; and hard palate morphogenesis. [provided by Alliance of Genome Resources, Apr 2022]"
RNF175,285533,ring finger protein 175,"Predicted to enable ubiquitin protein ligase activity. Predicted to be involved in ubiquitin-dependent ERAD pathway. Predicted to be integral component of membrane. Predicted to be active in Golgi membrane and endoplasmic reticulum membrane. [provided by Alliance of Genome Resources, Apr 2022]"
TMEM156,80008,transmembrane protein 156,"Predicted to be integral component of membrane. [provided by Alliance of Genome Resources, Apr 2022]"
HSPC062,50852,T cell receptor associated transmembrane adaptor 1,"Predicted to enable transmembrane receptor protein tyrosine kinase adaptor activity. Acts upstream of or within negative regulation of receptor recycling; negative regulation of transport; and positive regulation of signal transduction. Located in centriolar satellite; mitotic spindle; and plasma membrane. Part of T cell receptor complex. [provided by Alliance of Genome Resources, Apr 2022]"
CD3G,917,CD3 gamma subunit of T-cell receptor complex,"The protein encoded by this gene is the CD3-gamma polypeptide, which together with CD3-epsilon, -delta and -zeta, and the T-cell receptor alpha/beta and gamma/delta heterodimers, forms the T-cell receptor-CD3 complex. This complex plays an important role in coupling antigen recognition to several intracellular signal-transduction pathways. The genes encoding the epsilon, gamma and delta polypeptides are located in the same cluster on chromosome 11. Defects in this gene are associated with T cell immunodeficiency. [provided by RefSeq, Jul 2008]"
ZNF660,285349,zinc finger protein 660,"This gene encodes a protein that contains multiple C2H2 zinc finger domains, and is located in a cluster of zinc-finger encoding genes on chromosome 3. Naturally-occurring readthrough transcription is observed between this gene and the downstream zinc finger protein 197 gene and is represented by GeneID:110354863. [provided by RefSeq, May 2017]"
CLECL1,160365,"C-type lectin like 1, pseudogene","This gene encodes a type II transmembrane, C-type lectin-like protein that is highly expressed on dendritic and B cells. This protein may act as a T-cell costimulatory molecule that enhances interleukin-4 production, and maybe involved in the regulation of the immune response. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2011]"
BMS1P20,96610,BMS1 pseudogene 20,"This locus appears to be a transcribed pseudogene of the BMS1 homolog of yeast ribosome assembly protein on chromosome 10 that has arisen from duplication of the 3' half of the parent gene. Frameshifts and premature stop codons are present in this pseudogene compared to the parent gene. This gene lies in the immunoglobulin lambda gene cluster on chromosome 22q11.21.[provided by RefSeq, Mar 2009]"
CXCR2P1,3580,C-X-C motif chemokine receptor 2 pseudogene 1,
SIGLEC8,27181,sialic acid binding Ig like lectin 8,"Sialic acid-binding immunoglobulin (Ig)-like lectins, or SIGLECs (e.g., CD33 (MIM 159590)), are a family of type 1 transmembrane proteins each having a unique expression pattern, mostly in hemopoietic cells. SIGLEC8 is a member of the CD33-like subgroup of SIGLECs, which are localized to 19q13.3-q13.4 and have 2 conserved cytoplasmic tyrosine-based motifs: an immunoreceptor tyrosine-based inhibitory motif, or ITIM (see MIM 604964), and a motif homologous to one identified in signaling lymphocyte activation molecule (SLAM; MIM 603492) that mediates an association with SLAM-associated protein (SAP; MIM 300490) (summarized by Foussias et al., 2000 [PubMed 11095983]).[supplied by OMIM, May 2010]"
GPR141,353345,G protein-coupled receptor 141,"GPR141 is a member of the rhodopsin family of G protein-coupled receptors (GPRs) (Fredriksson et al., 2003 [PubMed 14623098]).[supplied by OMIM, Mar 2008]"
S100Z,170591,S100 calcium binding protein Z,"Members of the S100 protein family contain 2 calcium-binding EF-hands and exhibit cell-type specific expression patterns. For additional background information on S100 proteins, see MIM 114085.[supplied by OMIM, Mar 2008]"
TNFRSF9,3604,TNF receptor superfamily member 9,"The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor contributes to the clonal expansion, survival, and development of T cells. It can also induce proliferation in peripheral monocytes, enhance T cell apoptosis induced by TCR/CD3 triggered activation, and regulate CD28 co-stimulation to promote Th1 cell responses. The expression of this receptor is induced by lymphocyte activation. TRAF adaptor proteins have been shown to bind to this receptor and transduce the signals leading to activation of NF-kappaB. [provided by RefSeq, Jul 2008]"
GBP1P1,400759,guanylate binding protein 1 pseudogene 1,
SMPDL3B,27293,sphingomyelin phosphodiesterase acid like 3B,"Enables phosphoric diester hydrolase activity. Predicted to be involved in membrane lipid catabolic process; negative regulation of inflammatory response; and negative regulation of toll-like receptor signaling pathway. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]"
SLC6A7,6534,solute carrier family 6 member 7,"This gene is a member of the gamma-aminobutyric acid (GABA) neurotransmitter gene family and encodes a high-affinity mammalian brain L-proline transporter protein. This transporter protein differs from other sodium-dependent plasma membrane carriers by its pharmacological specificity, kinetic properties, and ionic requirements. [provided by RefSeq, Jul 2008]"
CRTAM,56253,cytotoxic and regulatory T cell molecule,"The CRTAM gene is upregulated in CD4 (see MIM 186940)-positive and CD8 (see CD8A; MIM 186910)-positive T cells and encodes a type I transmembrane protein with V and C1-like Ig domains (Yeh et al., 2008 [PubMed 18329370]).[supplied by OMIM, Feb 2009]"
MMP12,4321,matrix metallopeptidase 12,"This gene encodes a member of the peptidase M10 family of matrix metalloproteinases (MMPs). Proteins in this family are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. The encoded preproprotein is proteolytically processed to generate the mature protease. This protease degrades soluble and insoluble elastin. This gene may play a role in aneurysm formation and mutations in this gene are associated with lung function and chronic obstructive pulmonary disease (COPD). This gene is part of a cluster of MMP genes on chromosome 11. [provided by RefSeq, Jan 2016]"
LILRA1,11024,leukocyte immunoglobulin like receptor A1,"This gene encodes an activating member of the leukocyte immunoglobulin-like receptor (LIR) family, which is found in a gene cluster at chromosomal region 19q13.4. The encoded protein is predominantly expressed in B cells, interacts with major histocompatibility complex class I ligands, and contributes to the regulation of immune responses. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, May 2013]"
JCHAIN,3512,joining chain of multimeric IgA and IgM,"Enables IgA binding activity and protein homodimerization activity. Contributes to several functions, including immunoglobulin receptor binding activity; peptidoglycan binding activity; and phosphatidylcholine binding activity. Involved in several processes, including defense response to other organism; glomerular filtration; and positive regulation of respiratory burst. Located in extracellular space. Part of monomeric IgA immunoglobulin complex; pentameric IgM immunoglobulin complex; and secretory dimeric IgA immunoglobulin complex. [provided by Alliance of Genome Resources, Apr 2022]"
BTNL8,79908,butyrophilin like 8,"Predicted to enable signaling receptor binding activity. Predicted to be involved in T cell receptor signaling pathway and regulation of cytokine production. Predicted to be located in plasma membrane. Predicted to be active in external side of plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
XCL2,6846,X-C motif chemokine ligand 2,"Predicted to enable CCR chemokine receptor binding activity and chemokine activity. Predicted to be involved in several processes, including cellular response to cytokine stimulus; leukocyte chemotaxis; and positive regulation of T cell chemotaxis. Predicted to be located in extracellular region. Predicted to be active in extracellular space. [provided by Alliance of Genome Resources, Apr 2022]"
NLRC4,58484,NLR family CARD domain containing 4,"This gene encodes a member of the caspase recruitment domain-containing NLR family. Family members play essential roles in innate immune response to a wide range of pathogenic organisms, tissue damage and other cellular stresses. Mutations in this gene result in autoinflammation with infantile enterocolitis. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2014]"
THEMIS,387357,thymocyte selection associated,"This gene encodes a protein that plays a regulatory role in both positive and negative T-cell selection during late thymocyte development. The protein functions through T-cell antigen receptor signaling, and is necessary for proper lineage commitment and maturation of T-cells. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2009]"
SH2D1A,4068,SH2 domain containing 1A,"This gene encodes a protein that plays a major role in the bidirectional stimulation of T and B cells. This protein contains an SH2 domain and a short tail. It associates with the signaling lymphocyte-activation molecule, thereby acting as an inhibitor of this transmembrane protein by blocking the recruitment of the SH2-domain-containing signal-transduction molecule SHP-2 to its docking site. This protein can also bind to other related surface molecules that are expressed on activated T, B and NK cells, thereby modifying signal transduction pathways in these cells. Mutations in this gene cause lymphoproliferative syndrome X-linked type 1 or Duncan disease, a rare immunodeficiency characterized by extreme susceptibility to infection with Epstein-Barr virus, with symptoms including severe mononucleosis and malignant lymphoma. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]"
RGS18,64407,regulator of G protein signaling 18,"This gene encodes a member of the regulator of G-protein signaling family. This protein is contains a conserved, 120 amino acid motif called the RGS domain. The protein attenuates the signaling activity of G-proteins by binding to activated, GTP-bound G alpha subunits and acting as a GTPase activating protein (GAP), increasing the rate of conversion of the GTP to GDP. This hydrolysis allows the G alpha subunits to bind G beta/gamma subunit heterodimers, forming inactive G-protein heterotrimers, thereby terminating the signal. Alternate transcriptional splice variants of this gene have been observed but have not been thoroughly characterized. [provided by RefSeq, Jul 2008]"
KIR3DL2,3812,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2","Killer cell immunoglobulin-like receptors (KIRs) are transmembrane glycoproteins expressed by natural killer cells and subsets of T cells. The KIR genes are polymorphic and highly homologous and they are found in a cluster on chromosome 19q13.4 within the 1 Mb leukocyte receptor complex (LRC). The gene content of the KIR gene cluster varies among haplotypes, although several ""framework"" genes are found in all haplotypes (KIR3DL3, KIR3DP1, KIR3DL4, KIR3DL2). The KIR proteins are classified by the number of extracellular immunoglobulin domains (2D or 3D) and by whether they have a long (L) or short (S) cytoplasmic domain. KIR proteins with the long cytoplasmic domain transduce inhibitory signals upon ligand binding via an immune tyrosine-based inhibitory motif (ITIM), while KIR proteins with the short cytoplasmic domain lack the ITIM motif and instead associate with the TYRO protein tyrosine kinase binding protein to transduce activating signals. The ligands for several KIR proteins are subsets of HLA class I molecules; thus, KIR proteins are thought to play an important role in regulation of the immune response. This gene is one of the ""framework"" loci that is present on all haplotypes. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Jun 2011]"
ZBED2,79413,zinc finger BED-type containing 2,"Enables transcription cis-regulatory region binding activity. Involved in negative regulation of transcription by RNA polymerase II and positive regulation of keratinocyte differentiation. Predicted to be located in nucleus. Predicted to be part of chromatin. [provided by Alliance of Genome Resources, Apr 2022]"
SLC8A1,6546,solute carrier family 8 member A1,"In cardiac myocytes, Ca(2+) concentrations alternate between high levels during contraction and low levels during relaxation. The increase in Ca(2+) concentration during contraction is primarily due to release of Ca(2+) from intracellular stores. However, some Ca(2+) also enters the cell through the sarcolemma (plasma membrane). During relaxation, Ca(2+) is sequestered within the intracellular stores. To prevent overloading of intracellular stores, the Ca(2+) that entered across the sarcolemma must be extruded from the cell. The Na(+)-Ca(2+) exchanger is the primary mechanism by which the Ca(2+) is extruded from the cell during relaxation. In the heart, the exchanger may play a key role in digitalis action. The exchanger is the dominant mechanism in returning the cardiac myocyte to its resting state following excitation.[supplied by OMIM, Apr 2004]"
MZB1,51237,marginal zone B and B1 cell specific protein,"Involved in positive regulation of cell population proliferation. Located in cytoplasm and extracellular region. [provided by Alliance of Genome Resources, Apr 2022]"
CD79A,973,CD79a molecule,"The B lymphocyte antigen receptor is a multimeric complex that includes the antigen-specific component, surface immunoglobulin (Ig). Surface Ig non-covalently associates with two other proteins, Ig-alpha and Ig-beta, which are necessary for expression and function of the B-cell antigen receptor. This gene encodes the Ig-alpha protein of the B-cell antigen component. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jul 2008]"
ERAP2,64167,endoplasmic reticulum aminopeptidase 2,"This gene encodes a zinc metalloaminopeptidase of the M1 protease family that resides in the endoplasmic reticulum and functions in N-terminal trimming antigenic epitopes for presentation by major histocompatibility complex (MHC) class I molecules. Certain mutations in this gene are associated with the inflammatory arthritis syndrome ankylosing spondylitis and pre-eclampsia. This gene is located adjacent to a closely related aminopeptidase gene on chromosome 5. [provided by RefSeq, Jul 2016]"
CR1L,1379,complement C3b/C4b receptor 1 like,"Acts upstream of or within regulation of complement activation and regulation of complement-dependent cytotoxicity. Part of receptor complex. [provided by Alliance of Genome Resources, Apr 2022]"
CCR4,1233,C-C motif chemokine receptor 4,"The protein encoded by this gene belongs to the G-protein-coupled receptor family . It is a receptor for the CC chemokine - MIP-1, RANTES, TARC and MCP-1. Chemokines are a group of small polypeptide, structurally related molecules that regulate cell trafficking of various types of leukocytes. The chemokines also play fundamental roles in the development, homeostasis, and function of the immune system, and they have effects on cells of the central nervous system as well as on endothelial cells involved in angiogenesis or angiostasis. [provided by RefSeq, Jul 2008]"
SCML4,256380,Scm polycomb group protein like 4,"Predicted to enable chromatin binding activity and histone binding activity. Predicted to be involved in negative regulation of transcription, DNA-templated. Predicted to be active in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
CD1B,910,CD1b molecule,"This gene encodes a member of the CD1 family of transmembrane glycoproteins, which are structurally related to the major histocompatibility complex (MHC) proteins and form heterodimers with beta-2-microglobulin. The CD1 proteins mediate the presentation of primarily lipid and glycolipid antigens of self or microbial origin to T cells. The human genome contains five CD1 family genes organized in a cluster on chromosome 1. The CD1 family members are thought to differ in their cellular localization and specificity for particular lipid ligands. The protein encoded by this gene localizes to late endosomes and lysosomes via a tyrosine-based motif in the cytoplasmic tail, and requires vesicular acidification to bind lipid antigens. [provided by RefSeq, Jul 2008]"
